"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10472","Register User","tests","2025-12-10","passed","2025-12-10","","test_register_user","",""
"","5768","Login User with correct email and password","tests","2025-12-10","passed","2025-12-10","","test_login_user_with_incorrect_email_and_password","",""
"","18006","Contact us form","tests","2025-12-10","passed","2025-12-10","","test_contact_us_form","",""
"","5805","Search Product","tests","2025-12-10","passed","2025-12-10","","test_search_product","",""
"","3331","Verify Test Cases Page","tests","2025-12-10","passed","2025-12-10","","test_verify_test_cases_page","",""
"","6547","Logout user","tests","2025-12-10","passed","2025-12-10","","test_logout_user","",""
"","8886","Login User with correct email and password","tests","2025-12-10","passed","2025-12-10","","test_login_user_with_correct_email_and_password","",""
"","2858","Verify Subscription In Home Page","tests","2025-12-10","passed","2025-12-10","","test_verify_subscription_in_home_page","",""
"","4833","Register User With Existing Email","tests","2025-12-10","passed","2025-12-10","","test_register_user_with_existing_email","",""
"","5103","Verify All Products And Product Detail Page","tests","2025-12-10","passed","2025-12-10","","test_verify_all_products_and_product_detail_page","",""
