"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4348","Verify Subscription In Home Page","tests","2025-12-10","passed","2025-12-10","","test_verify_subscription_in_home_page","",""
"","6030","Verify All Products And Product Detail Page","tests","2025-12-10","passed","2025-12-10","","test_verify_all_products_and_product_detail_page","",""
"","11269","Register User","tests","2025-12-10","passed","2025-12-10","","test_register_user","",""
"","5911","Search Product","tests","2025-12-10","passed","2025-12-10","","test_search_product","",""
"","16733","Login User with correct email and password","tests","2025-12-10","passed","2025-12-10","","test_login_user_with_correct_email_and_password","",""
"","6082","Login User with correct email and password","tests","2025-12-10","passed","2025-12-10","","test_login_user_with_incorrect_email_and_password","",""
"","5724","Register User With Existing Email","tests","2025-12-10","passed","2025-12-10","","test_register_user_with_existing_email","",""
"","3626","Verify Test Cases Page","tests","2025-12-10","passed","2025-12-10","","test_verify_test_cases_page","",""
"","17705","Contact us form","tests","2025-12-10","passed","2025-12-10","","test_contact_us_form","",""
"","4817","Logout user","tests","2025-12-10","passed","2025-12-10","","test_logout_user","",""
